date,title,motion_text,deputy,party,vote,afavor,enContra,abstenciones,noVotan,initiative_url
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Meijón Couselo, Guillermo Antonio",GS,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Sahuquillo García, Luis Carlos",GS,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Canales Duque, Mariana de Gracia",GS,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Fagúndez Campo, Antidio",GS,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Rodríguez Salas, José Antonio",GS,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Riolobos Regadera, Carmen",GP,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Ramón Utrabo, Elvira",GS,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Píriz Maya, Víctor Valentín",GP,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","Velasco Morillo, Elvira",GP,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
29/10/2020,Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de los Emiratos Árabes Unidos sobre protección mutua de información clasificada, hecho en Abu-Dhabi el 3 de octubre de 2018.","García Díez, Joaquín María",GP,Sí,288,0,59,3,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XIV&_iniciativas_id=110/000032
