date,title,motion_text,deputy,party,vote,afavor,enContra,abstenciones,noVotan,initiative_url
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Sahuquillo García, Luis Carlos",GS,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Mateu Istúriz, Jaime Miguel",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Pérez Herraiz, Margarita",GS,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","De Barrionuevo Gener, Avelino",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Miquel i Valentí, Sergi",GMx,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Xuclà i Costa, Jordi",GMx,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Aguiar Rodríguez, Ernesto",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Martín Llaguno, Marta",GCs,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Igea Arisqueta, Francisco",GCs,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Pastor Julián, Ana María",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Moro Almaraz, María Jesús",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","De Arriba Sánchez, Bienvenido",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Villalobos Talero, Celia",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","España Reina, Carolina",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Salvador García, Luis Miguel",GCs,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Camacho Sánchez, José Miguel",GS,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Suárez Lamata, Eloy",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Blasco Marqués, Manuel",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","Delgado Arce, Celso Luis",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
26/2/2019,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley Orgánica del Grupo Parlamentario Socialista, de reforma de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para la regulación del ejercicio del voto por los españoles que viven en el extranjero.","García-Tizón López, Arturo",GP,Sí,341,0,0,9,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=122/000320
