date,title,motion_text,deputy,party,vote,afavor,enContra,abstenciones,noVotan,initiative_url
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Oramas González-Moro, Ana María",GMx,No,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Sahuquillo García, Luis Carlos",GS,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Mateu Istúriz, Jaime Miguel",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Pérez Herraiz, Margarita",GS,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","De Barrionuevo Gener, Avelino",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Aguiar Rodríguez, Ernesto",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Martín Llaguno, Marta",GCs,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Igea Arisqueta, Francisco",GCs,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Pastor Julián, Ana María",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Moro Almaraz, María Jesús",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","De Arriba Sánchez, Bienvenido",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Villalobos Talero, Celia",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","España Reina, Carolina",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Salvador García, Luis Miguel",GCs,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Camacho Sánchez, José Miguel",GS,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Suárez Lamata, Eloy",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Blasco Marqués, Manuel",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Delgado Arce, Celso Luis",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","García-Tizón López, Arturo",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Alonso Díaz-Guerra, José Jaime",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Vázquez Blanco, Ana Belén",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
30/11/2017,Convalidación o derogación de Reales Decretos-Leyes.,"Real Decreto-Ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino.","Cortés Bureta, Pilar",GP,Sí,253,1,80,16,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XII&_iniciativas_id=130/000022
